trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,10,18.607889183724637,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2836540264997704}",25,13,6.475822563079962,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2808316217783798}",30,20,-24.892179206496095,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.01, 'e': 0.27803730045319414}",20,2,5.8527807035049255,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.27527078308975234}",25,8,-43.061906340911165,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,10,26.0740476110281,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2698200563846868}",20,7,24.714473443879886,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26713530196585034}",25,0,-15.50223531500139,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
134,False,"{'a': 0.01, 'e': 0.26447726129982396}",20,0,3.6160077313168295,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.261845668580326}",20,15,0.2990198092287979,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2592402606458915}",25,6,20.68056483979524,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.2566607769535559}",20,5,-54.104634427110916,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 1}",1
138,False,"{'a': 0.01, 'e': 0.25410695955280027}",20,16,7.874840665152276,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.25157855305975646}",20,2,-35.09175141083674,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.01, 'e': 0.24907530463166816}",20,15,1.946395794699968,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.24659696394160643}",25,0,-62.146974691468515,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
142,False,"{'a': 0.01, 'e': 0.2441432831534371}",30,13,17.715973622204146,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.24171401689703645}",20,14,11.76093586563697,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23930892224375455}",25,14,18.161314560573132,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
